trans_id,trade_date,client_name,country,asset_class,ticker_symbol,volume,price_per_share,commission_fee,total_value
TXN-1000,2025-01-15,Jan Kowalski,PL,Equity,AAPL,100.0,150.5,12.5,15062.5
TXN-1001,2025-01-15,Jan Kowalski,PL,Etf,VWCE.DE,50.0,115.2,0.0,5760.0
TXN-1002,2025-02-20,Anna Nowak,US,Fixed Income,MSFT,1000.0,100.25,15.0,100265.0
TXN-1006,2025-01-15,Jan Kowalski,PL,Equity,NVDA,100.0,120.5,12.5,12062.5
TXN-1007,2025-01-18,Tomasz Wiśniewski,PL,Etf,QQQ,150.0,480.0,10.0,72010.0
TXN-1008,2025-01-18,Tomasz Wisniewski,PL,Etf,QQQ,150.0,480.0,10.0,72010.0
TXN-1009,2025-01-20,Maria Dąbrowska,PL,Equity,PKN.WA,500.0,65.4,8.0,32708.0
TXN-1010,2025-02-01,Maria Dabrowska,US,Etf,VTI,250.0,240.75,0.0,60187.5
TXN-1011,2025-02-15,John Smith,US,Fx,EURUSD,100000.0,1.085,5.0,108505.0
TXN-1012,2025-03-10,John Smith,US,Commodity,GOLD,10.0,2150.0,25.0,21525.0
TXN-1013,2025-10-03,Emma Watson,UK,Equity,TSLA,200.0,180.2,10.0,36050.0
TXN-1015,2025-03-12,Michał Zieliński,PL,Equity,PKO.WA,2500.0,58.5,15.0,146265.0
TXN-1016,2025-03-15,Michal Zielinski,PL,Etf,VWCE.DE,100.0,115.2,12.5,11532.5
TXN-1020,2025-01-15,Elena Rostova,DE,Etf,EUNL.DE,400.0,88.4,12.5,35372.5
TXN-1021,2025-01-15,Elena Rostova,DE,Equity,AMZN,50.0,175.0,0.0,8750.0
TXN-1022,2025-02-20,Marco Rossi,IT,Fixed Income,BTP,1500.0,102.25,15.0,153390.0
TXN-1026,2025-01-25,Katarzyna Wójcik,PL,Etf,AGGH.DE,1000.0,5.1,5.0,5105.0
TXN-1027,2025-01-28,Katarzyna Wojcik,PL,Equity,ALE.WA,300.0,34.2,6.0,10266.0
TXN-1028,2025-02-02,Sven Svensson,SE,Etf,VWCE.DE,200.0,116.0,10.0,23210.0
TXN-1029,2025-02-05,Sven Svensson,SE,Equity,VOLV-B,800.0,270.0,12.0,216012.0
TXN-1030,2025-02-12,Jan Kowalski,PL,Etf,QQQ,80.0,485.5,10.0,38850.0
TXN-1031,2025-02-18,Anna Nowak,US,Equity,AAPL,120.0,182.3,12.0,21888.0
TXN-1032,2025-02-22,Tomasz Wiśniewski,PL,Commodity,GOLD,5.0,2180.0,15.0,10915.0
TXN-1033,2025-03-02,Maria Dąbrowska,PL,Etf,SPY,300.0,510.2,0.0,153060.0
TXN-1034,2025-03-05,John Smith,US,Equity,MSFT,90.0,415.0,10.0,37360.0
TXN-1035,2025-03-08,Emma Watson,UK,Fx,GBPUSD,50000.0,1.275,8.0,63758.0
TXN-1039,2025-03-11,Michał Zieliński,PL,Cryptocurrency,BTC-USD,0.5,65000.0,20.0,32520.0
TXN-1040,2025-03-14,Krzysztof Krawczyk,PL,Etf,VTI,150.0,242.0,10.0,36310.0
TXN-1041,2025-03-16,Elena Rostova,DE,Equity,SAP,200.0,180.5,15.0,36115.0
TXN-1042,2025-03-19,Marco Rossi,IT,Etf,EUNL.DE,350.0,89.1,11.0,31196.0
TXN-1043,2025-03-21,Pierre Dubois,FR,Equity,TTE,400.0,62.3,14.0,24934.0
TXN-1044,2025-03-23,Katarzyna Wójcik,PL,Etf,VWCE.DE,120.0,116.5,8.0,13988.0
TXN-1045,2025-03-25,Sven Svensson,SE,Equity,ERIC-B,1500.0,60.2,18.0,90318.0
