client_name,total_invested,avg_trade_size,trade_count
Sven Svensson,329540.0,109846.67,3
Maria Dąbrowska,185768.0,92884.0,2
Marco Rossi,184586.0,92293.0,2
Michał Zieliński,178785.0,89392.5,2
John Smith,167390.0,55796.67,3
Anna Nowak,122153.0,61076.5,2
Emma Watson,99808.0,49904.0,2
Tomasz Wiśniewski,82925.0,41462.5,2
Elena Rostova,80237.5,26745.83,3
Tomasz Wisniewski,72010.0,72010.0,1
Jan Kowalski,71735.0,17933.75,4
Maria Dabrowska,60187.5,60187.5,1
Krzysztof Krawczyk,36310.0,36310.0,1
Pierre Dubois,24934.0,24934.0,1
Katarzyna Wójcik,19093.0,9546.5,2
Michal Zielinski,11532.5,11532.5,1
Katarzyna Wojcik,10266.0,10266.0,1
