Trans_ID,Trade Date,Client Name,Asset Class,Ticker Symbol,Volume,Price_Per_Share,Commission_Fee,Country
TXN-1000,2025-01-15,  Jan Kowalski ,Equity,AAPL,100,$150.50,12.5,PL
TXN-1001,15/01/2025,jan kowalski,ETF, VWCE.DE ,50,115.20 EUR,0.0,Poland
TXN-1002,2025/02/20,Anna Nowak,Fixed Income,MSFT,"1,000",100.25 PLN,15.0,USA
TXN-1003,2025-03-01,ANNA NOWAK,Crypto,BTC-USD,-10,-50.0,-5.0,US
,INVALID_DATE,Piotr Wiśniewski,ETF,SPY,200.5,UNK,,DE
TXN-1005,,Piotr Wisniewski ,crypto ,ETH-USD,,$3200.50,12.5,PL
TXN-1006,2025-01-15,Jan Kowalski,Equity,NVDA,100,$120.50,12.5,PL
TXN-1007,2025-01-18, Tomasz Wiśniewski ,ETF,QQQ,150,$480.00,10.0,PL
TXN-1008,18/01/2025,tomasz wisniewski,ETF, qqq ,150,480.00,10.0,Poland
TXN-1009,2025-01-20,Maria Dąbrowska,Equity,PKN.WA,500,65.40 PLN,8.0,PL
TXN-1010,2025-02-01,MARIA DABROWSKA,ETF,VTI,250,$240.75,0.0,USA
TXN-1011,2025-02-15,John Smith,FX,EURUSD,100000,1.0850,5.0,USA
TXN-1012,2025-03-10,  john smith  ,Commodity,GOLD,10,$2150.00,25.0,US
TXN-1013,10/03/2025,Emma Watson,Equity, TSLA ,200,180.20 PLN,-10.0,UK
TXN-1014,INVALID_DATE,emma watson,ETF,IUSA.L,300,$52.00,0.0,United Kingdom
TXN-1015,2025-03-12,Michał Zieliński,Equity,PKO.WA,"2,500",58.50 PLN,15.0,PL
TXN-1016,2025-03-15,  michal zielinski,ETF, VWCE.DE ,100,115.20,12.5,Poland
TXN-1017,2025/03/18,Krzysztof Krawczyk,Commodity,OIL,500,UNK,0.0,PL
TXN-1018,2025-03-20,KRZYSZTOF KRAWCZYK,Crypto,SOL-USD,100,-140.0,-15.0,PL
TXN-1019,2025-03-22,,Fixed Income,US10Y,300,$98.50,10.0,US
TXN-1020,2025-01-15,Elena Rostova,ETF,EUNL.DE,400,88.40 EUR,12.5,DE
TXN-1021,15/01/2025,elena rostova,EQUITY, AMZN ,50,175.0,0.0,Germany
TXN-1022,2025/02/20,Marco Rossi,Fixed Income,BTP,"1,500",102.25 EUR,15.0,IT
TXN-1023,2025-03-01,MARCO ROSSI,Crypto,BTC-USD,-2,-62000.0,-5.0,Italy
,INVALID_DATE,Pierre Dubois,ETF,SPY,50,UNK,,FR
TXN-1025,,pierre dubois ,equity ,ORAN,,$10.50,2.5,France
TXN-1026,2025-01-25,Katarzyna Wójcik,ETF,AGGH.DE,1000,5.10 EUR,5.0,PL
TXN-1027,2025-01-28, katarzyna wojcik ,Equity,ALE.WA,300,34.20 PLN,6.0,Poland
TXN-1028,2025-02-02,  Sven Svensson ,ETF,VWCE.DE,200,116.00 EUR,10.0,SE
TXN-1029,2025-02-05,sven svensson,Equity,VOLV-B,800,270.00 SEK,12.0,Sweden
TXN-1030,2025-02-12,Jan Kowalski,ETF,QQQ,80,$485.50,10.0,PL
TXN-1031,2025-02-18,Anna Nowak,Equity,AAPL,120,$182.30,12.0,USA
TXN-1032,2025-02-22,Tomasz Wiśniewski,Commodity,GOLD,5,$2180.00,15.0,PL
TXN-1033,2025-03-02,Maria Dąbrowska,ETF,SPY,300,$510.20,0.0,PL
TXN-1034,2025-03-05,John Smith,Equity,MSFT,90,$415.00,10.0,USA
TXN-1035,2025-03-08,Emma Watson,FX,GBPUSD,50000,1.2750,8.0,UK
TXN-1000,2025-01-15,  Jan Kowalski ,Equity,AAPL,100,$150.50,12.5,PL
TXN-1008,18/01/2025,tomasz wisniewski,ETF, qqq ,150,480.00,10.0,Poland
TXN-1028,2025-02-02,  Sven Svensson ,ETF,VWCE.DE,200,116.00 EUR,10.0,SE
TXN-1039,2025-03-11,Michał Zieliński,Crypto,BTC-USD,0.5,$65000.00,20.0,PL
TXN-1040,2025-03-14,Krzysztof Krawczyk,ETF,VTI,150,$242.00,10.0,PL
TXN-1041,2025-03-16,Elena Rostova,Equity,SAP,200,180.50 EUR,15.0,DE
TXN-1042,2025-03-19,Marco Rossi,ETF,EUNL.DE,350,89.10 EUR,11.0,IT
TXN-1043,2025-03-21,Pierre Dubois,Equity,TTE,400,62.30 EUR,14.0,FR
TXN-1044,2025-03-23,Katarzyna Wójcik,ETF,VWCE.DE,120,116.50 EUR,8.0,PL
TXN-1045,2025-03-25,Sven Svensson,Equity,ERIC-B,1500,60.20 SEK,18.0,SE
